Id,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day,Status,Price,Days,Discount,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
khbgcdju,0,0,0,0,0,1,True,0,0,0,1,1,0,0,1,0,0,0,1,0,0,10,20,Closed Won,1500,0,False,0,0,1,0,0
maihngvg,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,6,28,Closed Lost,200,104,False,0,0,1,0,0
nvju1get,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,Closed Won,1680,0,False,0,0,1,0,0
95pgsk6u,0,0,0,0,0,1,True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,2,1,Closed Won,360,0,False,0,0,1,0,0
wwce9snq,0,0,0,0,0,1,True,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,1,Closed Won,240,0,False,0,0,1,0,0
uzq7wuhi,0,0,0,0,0,1,True,0,1,0,0,0,0,0,1,0,0,0,1,0,0,10,21,Closed Won,240,0,False,0,0,1,0,0
3dn1rz9q,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,1,Closed Lost,150,31,True,0,0,1,0,0
czmym7n8,0,0,0,0,0,1,True,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,1,Closed Won,1680,115,False,0,0,1,0,0
x3d6fyal,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,21,Demo 1,0,0,True,0,0,0,1,0
jeuupnk6,0,0,0,0,0,1,True,0,0,1,0,0,0,1,0,0,0,0,1,0,0,10,21,Closed Won,1344,0,False,0,0,0,1,0
e9jiwh3g,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,21,Closed Won,768,1,False,1,0,0,0,0
8fc70eb9,0,0,0,0,0,1,True,0,0,1,1,0,0,1,0,0,0,0,1,0,0,6,28,Closed Lost,768,45,False,0,0,1,0,0
c083najr,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,6,28,Closed Lost,200,0,False,0,0,1,0,0
x7ytl84o,0,0,0,0,0,1,True,1,0,1,0,0,0,0,0,0,1,0,1,0,0,6,28,Closed Won,768,0,False,1,0,0,0,0
q35vxuk7,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6,28,Demo 1,0,0,True,0,0,1,0,0
54e3q9d1,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,21,Closed Won,768,0,False,0,0,1,0,0
86bhaiyb,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,21,Closed Won,768,1,False,0,0,1,0,0
